"BirdID","ColNestLaying","Date","Time_Since_sun_rise","Colony","Nest","Playback_type","Playback_file","Recording_day","playback","N_chicks","D_chicks","sex","Season","Feeding_visits","BirdID_CNL","exact_age","minimum_age","age_seasons","age_categorical","temperature","wind","class_breeder"
"BC34601","32_14_2019-12-15","2020-01-09",68,"32","14","C",1,1,"one",3,11,"F","2019/2020",5,"BC34601-32_14_2019-12-15",NA,487,2,"could_breed",17.8,0,"parent"
"BC34601","32_14_2019-12-15","2020-01-10",70.9999999999999,"32","14","M",13,2,"one",3,12,"F","2019/2020",11,"BC34601-32_14_2019-12-15",NA,488,2,"could_breed",19.2,2.6,"parent"
"BC34601","32_14_2019-12-15","2020-01-11",50,"32","14","F",8,3,"one",3,13,"F","2019/2020",6,"BC34601-32_14_2019-12-15",NA,489,2,"could_breed",20.4,4.8,"parent"
"BC34603","32_23_2019-12-16","2020-01-09",68,"32","23","C",1,1,"one",3,10,"F","2019/2020",7,"BC34603-32_23_2019-12-16",NA,487,2,"could_breed",17.8,0,"parent"
"BC34603","32_23_2019-12-16","2020-01-11",50,"32","23","F",8,3,"one",3,12,"F","2019/2020",5,"BC34603-32_23_2019-12-16",NA,489,2,"could_breed",20.4,4.8,"parent"
"BC34603","32_23_2019-12-16","2020-01-10",70.9999999999999,"32","23","M",13,2,"one",3,11,"F","2019/2020",9,"BC34603-32_23_2019-12-16",NA,488,2,"could_breed",19.2,2.6,"parent"
"BC34605","8_63_2019-10-10","2019-11-02",71,"8","63","M",4,2,"four",3,9,"F","2019/2020",4,"BC34605-8_63_2019-10-10",NA,417,2,"could_breed",19.7,5.3,"parent"
"BC34605","8_63_2019-10-10","2019-11-03",75,"8","63","C",1,3,"four",3,10,"F","2019/2020",2,"BC34605-8_63_2019-10-10",NA,418,2,"could_breed",22.5,0,"parent"
"BC34612","8_61_2019-10-07","2019-11-03",75,"8","61","C",1,3,"four",3,13,"F","2019/2020",6,"BC34612-8_61_2019-10-07",NA,418,2,"could_breed",22.5,0,"parent"
"BC34612","8_61_2019-10-07","2019-11-02",71,"8","61","M",4,2,"four",3,12,"F","2019/2020",7,"BC34612-8_61_2019-10-07",NA,417,2,"could_breed",19.7,5.3,"parent"
"BC34614","8_63_2019-10-10","2019-11-03",75,"8","63","C",1,3,"four",3,10,"M","2019/2020",2,"BC34614-8_63_2019-10-10",NA,418,2,"could_breed",22.5,0,"helper"
"BC34616","37_18_2019-12-15","2020-01-09",82.9999999999999,"37","18","M",4,2,"four",3,11,"F","2019/2020",6,"BC34616-37_18_2019-12-15",NA,484,2,"could_breed",17.8,0,"parent"
"BC34616","37_18_2019-12-15","2020-01-10",59.9999999999999,"37","18","C",12,3,"four",3,12,"F","2019/2020",7,"BC34616-37_18_2019-12-15",NA,485,2,"could_breed",19.2,2.6,"parent"
